,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
56,75,0.0,0.633,0.931,1.0,-0.424,1.0,0.228,0.214,0.00398,0.0585,0.566,87.537
57,75,0.0,0.567,0.83,9.0,-6.402,0.0,0.0349,0.00879,0.0105,0.529,0.0726,126.04
58,75,0.0,0.871,0.765,0.0,-4.602,1.0,0.116,0.00742,0.000196,0.0953,0.596,128.087
59,75,0.0,0.621,0.785,6.0,-4.499,1.0,0.11,0.0165,5.92e-06,0.0512,0.779,123.96
60,75,1.0,0.747,0.413,2.0,-11.197,0.0,0.488,0.848,0.0,0.17,0.481,146.05
61,75,1.0,0.736,0.704,3.0,-7.409,0.0,0.0615,0.0203,0.0,0.0501,0.894,149.995
62,75,0.0,0.696,0.793,8.0,-5.733,1.0,0.097,0.0683,3.78e-06,0.18,0.698,120.003
63,75,1.0,0.912,0.412,7.0,-8.074,1.0,0.123,0.0165,0.0126,0.104,0.423,154.983
64,75,1.0,0.841,0.593,1.0,-7.846,1.0,0.0379,0.418,0.0,0.124,0.808,124.917
65,74,0.0,0.561,0.928,6.0,-5.812,0.0,0.0371,0.087,0.894,0.332,0.182,125.988
66,74,0.0,0.454,0.931,11.0,-4.083,1.0,0.0321,0.238,0.000623,0.289,0.462,137.945
67,74,0.0,0.767,0.862,5.0,-5.464,0.0,0.0606,0.14,0.0092,0.252,0.509,128.039
68,74,0.0,0.737,0.899,6.0,-3.189,0.0,0.0556,0.0329,0.0,0.186,0.358,125.992
69,74,0.0,0.657,0.773,6.0,-5.985,0.0,0.0391,0.0782,3.57e-05,0.25,0.324,128.013
70,74,0.0,0.752,0.771,6.0,-5.95,1.0,0.0311,0.00341,1.73e-05,0.0905,0.527,126.02
71,73,0.0,0.607,0.767,5.0,-6.069,0.0,0.0474,0.118,0.0,0.122,0.662,123.998
72,74,0.0,0.754,0.763,7.0,-4.627,0.0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
73,73,1.0,0.68,0.881,0.0,-4.503,1.0,0.0553,0.00499,0.0253,0.574,0.105,174.062
74,73,1.0,0.772,0.631,10.0,-5.082,1.0,0.0431,0.0648,0.0,0.129,0.433,121.854
75,73,1.0,0.486,0.545,11.0,-7.924,1.0,0.0336,0.0652,0.00474,0.0642,0.0385,150.187
76,73,1.0,0.749,0.505,11.0,-6.793,0.0,0.0458,0.0752,0.0,0.494,0.258,140.006
77,73,0.0,0.749,0.659,5.0,-6.419,1.0,0.167,0.161,0.0,0.246,0.185,95.008
78,73,1.0,0.737,0.774,11.0,-5.525,0.0,0.257,0.0262,0.0,0.238,0.428,137.959
79,73,0.0,0.686,0.928,8.0,-10.38,1.0,0.0527,0.0316,0.727,0.0576,0.631,124.986
80,73,1.0,0.801,0.601,8.0,-7.574,0.0,0.255,0.0777,3.23e-05,0.145,0.74,159.969
81,73,1.0,0.772,0.879,2.0,-4.22,1.0,0.323,0.0307,1.88e-06,0.25,0.304,61.311
82,72,1.0,0.713,0.703,8.0,-5.769,1.0,0.194,0.298,0.0,0.321,0.576,123.06
83,72,0.0,0.612,0.862,8.0,-2.903,1.0,0.037,0.041,0.0,0.0907,0.354,123.849
84,72,1.0,0.773,0.892,1.0,-3.732,0.0,0.0483,0.166,3.1e-06,0.429,0.842,130.007
85,72,0.0,0.79,0.764,4.0,-4.685,0.0,0.0737,0.0836,0.0871,0.132,0.473,123.046
86,71,0.0,0.701,0.861,9.0,-5.509,1.0,0.0781,0.139,2.58e-05,0.332,0.426,140.072
87,71,1.0,0.823,0.388,1.0,-10.867,1.0,0.491,0.0187,0.0,0.0876,0.507,154.569
88,71,1.0,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996
89,71,1.0,0.948,0.512,6.0,-5.74,0.0,0.146,0.0269,8.57e-06,0.0504,0.599,105.004
